epoch,train_loss,val_loss,lr
0.21,0.557122858017683,0.5220546601182323,0.01
0.43,0.49981153577566145,0.6096324118769775,0.01
0.64,0.47542401070396106,0.49654487305778566,0.01
0.85,0.47333111003041267,0.7229414127640805,0.01
1.0,0.45631539266608184,0.5555421110179465,0.01
1.21,0.4443475491553545,0.47105323434886287,0.01
1.43,0.41739532005041835,0.5508866401041969,0.01
1.64,0.4128548671801885,0.4485809121091487,0.01
1.85,0.41842586535960435,0.6266135049320883,0.01
2.0,0.40777342753005763,0.6054602646726673,0.01
2.21,0.43555783316493035,0.5248028489492708,0.01
2.43,0.40703023061156274,0.5269372345784963,0.01
2.64,0.40310707822442055,0.46040019683413586,0.01
2.85,0.4086721507832408,0.617788702754651,0.01
3.0,0.398737278650639,0.5760235940500841,0.01
3.21,0.4267439744621515,0.5880426557387336,0.01
3.43,0.3987767568230629,0.5335704081897008,0.01
3.64,0.39371831752359865,0.5245549239344516,0.01
3.85,0.3997688769362867,0.6991464417364638,0.01
4.0,0.39030493962853796,0.6173192471013231,0.01
4.21,0.42488239258527755,0.6488179758948794,0.005
4.43,0.3923144539445639,0.5824128331269248,0.005
4.64,0.3874938610444466,0.5759903489280556,0.005
4.85,0.3920637950114906,0.7244720775949753,0.005
5.0,0.38213515295989997,0.5969410470481646,0.005
5.21,0.4158347102254629,0.6529491116939965,0.005
5.43,0.3841639067977667,0.6097799826223972,0.005
5.64,0.37876651518046855,0.5363523797842406,0.005
5.85,0.3838731303624809,0.82701635019759,0.005
6.0,0.3747244302497475,0.6219444705520646,0.005
