epoch,train_loss,val_loss,lr
1,118.56204058881849,14.795250137336552,0.001
2,82.5756992502138,14.051778906024992,0.001
3,80.202793660108,14.605411744210869,0.001
4,78.61159191420302,14.820557771716267,0.001
5,76.67273900099099,13.961276119574904,0.001
6,73.67397984815761,22.492679389193654,0.001
7,68.88804147671908,22.464461067691445,0.001
8,64.97099154209718,13.490571405971423,0.001
9,63.57570375909563,12.653449923265725,0.001
10,62.11035391612677,12.717969052027911,0.001
11,61.666221291874535,12.646564931841567,0.001
12,61.04043728340184,17.924016719684005,0.001
13,59.676394954673015,13.728104388341308,0.001
14,58.56503092858475,17.242752901278436,0.0005
15,56.675591709208675,11.938386224210262,0.0005
