epoch,train_loss,val_loss,lr
1,0.4593866729717244,0.5959840149192487,0.01
2,0.4134436390315965,0.6294391523983519,0.01
3,0.401813727623625,0.6233511017793316,0.01
4,0.39307454715034623,0.5954318328176514,0.01
5,0.3872205198224606,0.5835094480948934,0.01
6,0.3823508652068253,0.5792806444026656,0.01
7,0.3778004051368036,0.6059479241148901,0.01
8,0.3714788769199856,0.6042434068049415,0.01
9,0.36471122182038956,0.6223075767442331,0.005
10,0.3529458506511904,0.6452390295216592,0.005
11,0.3413109233724142,0.6364394884745953,0.005
